TICKER,CUR_MKT_CAP,TRADE_DATE
AGR,3732.89754,2025-07-22
CLX,1411.58,2025-07-22
DXS,6601.775610000001,2025-07-22
HU1,60.0,2025-07-22
HUB,505.05606,2025-07-22
KOS,8377.82766,2025-07-22
LHC,1077.12,2025-07-22
SZG,2036.7158,2025-07-22
TCB,249742.50897,2025-07-22
VAV,2208.0,2025-07-22
RYG,551.25,2025-07-22
AAS,2184.9954500000003,2025-07-22
BBC,1312.68809,2025-07-22
BCC,1071.9253600000002,2025-07-22
BHA,1669.8,2025-07-22
BMJ,1133.99976,2025-07-22
C4G,3144.2466400000003,2025-07-22
IDV,1092.77459,2025-07-22
QCG,3755.51277,2025-07-22
SKH,861.3,2025-07-22
TNG,2586.88545,2025-07-22
VGC,21498.3825,2025-07-22
FIC,1511.3,2025-07-22
FIT,1655.4738799999998,2025-07-22
GSP,791.79252,2025-07-22
SCS,6366.9164900000005,2025-07-22
SSH,34950.0,2025-07-22
TDG,85.22339,2025-07-22
ASM,3028.05809,2025-07-22
CLW,525.85,2025-07-22
DSC,3512.98756,2025-07-22
DDV,4354.075019999999,2025-07-22
HDB,88949.29563,2025-07-22
LGC,11725.569710000002,2025-07-22
LPB,107243.42739,2025-07-22
PGC,838.7160600000001,2025-07-22
SMA,194.36957999999998,2025-07-22
TDC,1482.2061999999999,2025-07-22
VDP,834.75222,2025-07-22
AST,2889.0,2025-07-22
HBC,2499.93554,2025-07-22
HCD,286.80041,2025-07-22
HTV,122.12928,2025-07-22
LAF,296.94637,2025-07-22
PPH,2090.7849499999998,2025-07-22
PVI,13937.39109,2025-07-22
S99,832.72838,2025-07-22
SEB,1519.99853,2025-07-22
TDP,2911.33425,2025-07-22
TNC,585.2,2025-07-22
VDS,4209.975,2025-07-22
ABW,920.465,2025-07-22
BKG,216.97532999999999,2025-07-22
HVN,103086.44716,2025-07-22
MCP,583.4132900000001,2025-07-22
NHH,1213.452,2025-07-22
OCB,30082.627660000002,2025-07-22
RDP,63.79074,2025-07-22
SZC,6722.47198,2025-07-22
VPB,178513.28102000002,2025-07-22
DHM,228.28097,2025-07-22
EVE,426.0947,2025-07-22
FUC,,2025-07-22
GMC,144.9844,2025-07-22
KDH,31588.09373,2025-07-22
LSS,830.83633,2025-07-22
NCG,1161.90795,2025-07-22
NS2,1846.0,2025-07-22
PMW,1874.9937,2025-07-22
POS,740.0,2025-07-22
SPM,146.6505,2025-07-22
VCS,7952.0,2025-07-22
VNE,436.53384,2025-07-22
ACG,5699.784360000001,2025-07-22
ACV,204605.07518,2025-07-22
ASP,196.40599,2025-07-22
CSC,938.20322,2025-07-22
CTF,2142.64644,2025-07-22
DAT,514.36657,2025-07-22
DNH,20275.2,2025-07-22
DRC,2690.6525,2025-07-22
FUE,381.888,2025-07-22
MVN,73235.868,2025-07-22
NCT,2888.69681,2025-07-22
NHT,261.64031,2025-07-22
SCG,5499.5,2025-07-22
SII,871.0484,2025-07-22
CTS,7316.65427,2025-07-22
DBC,11328.55056,2025-07-22
DHA,721.57758,2025-07-22
GKM,135.16722000000001,2025-07-22
HTG,1686.7268700000002,2025-07-22
HTN,953.5455999999999,2025-07-22
MCM,3311.0,2025-07-22
PBC,827.08928,2025-07-22
SSI,63099.918399999995,2025-07-22
SZB,1119.0,2025-07-22
TMT,486.78934000000004,2025-07-22
VPS,220.14713,2025-07-22
YBM,219.50316,2025-07-22
BAF,10291.13258,2025-07-22
DRH,455.24495,2025-07-22
FOC,1272.81398,2025-07-22
GDT,516.8551699999999,2025-07-22
PTC,221.80029000000002,2025-07-22
TVC,1072.9235,2025-07-22
VC3,3591.8319500000002,2025-07-22
VNM,125815.31779,2025-07-22
EVG,1463.69888,2025-07-22
LBM,1274.0,2025-07-22
RAL,2317.06603,2025-07-22
SJG,8361.39028,2025-07-22
STG,3581.33486,2025-07-22
SVD,111.80393,2025-07-22
VLC,3357.36745,2025-07-22
DSE,8905.38,2025-07-22
FUE,,2025-07-22
ITA,2158.13962,2025-07-22
ITD,337.56736,2025-07-22
KHG,3065.1481,2025-07-22
KPF,73.04069,2025-07-22
ORS,3645.59721,2025-07-22
PRT,3000.0,2025-07-22
PVP,1617.75825,2025-07-22
SAM,2735.7189900000003,2025-07-22
TEG,767.12167,2025-07-22
VCB,519722.99085,2025-07-22
BHN,8367.98,2025-07-22
BID,273130.97857,2025-07-22
BVB,9099.644,2025-07-22
FOX,53781.98011,2025-07-22
LTG,856.3024499999999,2025-07-22
MCH,120916.68491,2025-07-22
PMG,338.25483,2025-07-22
SBH,5155.3375,2025-07-22
SGB,4370.50892,2025-07-22
TTA,1913.1479199999999,2025-07-22
VIP,879.85159,2025-07-22
VPI,16930.622620000002,2025-07-22
VSI,246.83994,2025-07-22
CLC,1331.34522,2025-07-22
COM,476.57120000000003,2025-07-22
CTR,11381.394960000001,2025-07-22
DAH,293.016,2025-07-22
DHB,2585.9,2025-07-22
DP3,1137.34646,2025-07-22
DXG,19868.241690000003,2025-07-22
IFS,2082.66952,2025-07-22
TCI,1046.36972,2025-07-22
TDM,6270.0,2025-07-22
TIX,1140.0,2025-07-22
TYA,458.67470000000003,2025-07-22
AGP,1115.17973,2025-07-22
AVC,4165.38889,2025-07-22
BFC,2578.27648,2025-07-22
BSR,57669.29286,2025-07-22
D2D,1171.05202,2025-07-22
GTA,97.8085,2025-07-22
GVR,121800.0,2025-07-22
HPI,1608.0,2025-07-22
JVC,704.2510699999999,2025-07-22
MIE,965.5422,2025-07-22
NVL,33054.27192,2025-07-22
SKV,690.0,2025-07-22
VTO,1034.27332,2025-07-22
VSF,13750.0,2025-07-22
BSA,1557.62772,2025-07-22
DPG,4510.7566799999995,2025-07-22
HDG,10099.99086,2025-07-22
HQC,2254.50316,2025-07-22
L10,192.3735,2025-07-22
MWG,104094.07698,2025-07-22
SBV,226.789,2025-07-22
TOS,5021.98153,2025-07-22
TTP,,2025-07-22
BCG,3159.95621,2025-07-22
FUE,,2025-07-22
HNG,7094.74493,2025-07-22
HWS,1398.128,2025-07-22
IPA,3314.4545099999996,2025-07-22
SIP,15204.72236,2025-07-22
SZL,1204.52699,2025-07-22
TNA,182.15585000000002,2025-07-22
TNT,271.83,2025-07-22
TVB,969.6392099999999,2025-07-22
VFG,2544.46945,2025-07-22
VRE,68169.5523,2025-07-22
TTN,697.8225,2025-07-22
HNA,5763.18915,2025-07-22
LCG,1988.83557,2025-07-22
VFS,2566.0776,2025-07-22
ANV,6350.19964,2025-07-22
BRC,178.19996,2025-07-22
CHP,5178.67155,2025-07-22
FUE,131.936,2025-07-22
HVH,624.0719399999999,2025-07-22
LGL,219.37765,2025-07-22
MHC,392.59007,2025-07-22
PEG,970.62213,2025-07-22
SVC,1365.7113100000001,2025-07-22
TIP,1267.65321,2025-07-22
TMP,4410.0,2025-07-22
AAM,74.72595,2025-07-22
APF,1530.20771,2025-07-22
BAB,11708.94297,2025-07-22
CAV,,2025-07-22
DVP,3084.0,2025-07-22
EVS,1170.08439,2025-07-22
HSL,230.24716,2025-07-22
HTM,2287.5694399999998,2025-07-22
ILB,1050.48603,2025-07-22
NHA,1112.7501399999999,2025-07-22
SMC,945.84786,2025-07-22
TAL,8950.095,2025-07-22
TBH,1219.8431799999998,2025-07-22
BMC,260.24523,2025-07-22
EVF,10115.52517,2025-07-22
HT1,5399.497240000001,2025-07-22
LM8,127.68608,2025-07-22
PHC,266.58694,2025-07-22
PVD,11395.54012,2025-07-22
SAB,61306.481380000005,2025-07-22
SSC,445.93197999999995,2025-07-22
TID,4700.0,2025-07-22
VGG,2094.75,2025-07-22
VSC,7262.785019999999,2025-07-22
YEG,2483.83635,2025-07-22
NAB,25306.40082,2025-07-22
NT2,5887.06479,2025-07-22
PJT,238.87474,2025-07-22
SGI,943.30875,2025-07-22
SQC,1824.083,2025-07-22
TN1,609.97017,2025-07-22
AAA,2935.86813,2025-07-22
AAT,240.07676,2025-07-22
DC4,1310.17843,2025-07-22
DTA,87.59019,2025-07-22
HUT,12545.14818,2025-07-22
KSB,2065.7088400000002,2025-07-22
MSR,23631.84153,2025-07-22
CRC,711.35921,2025-07-22
DTP,2713.4958199999996,2025-07-22
HAN,1452.7944,2025-07-22
ICT,431.279,2025-07-22
MIG,3625.80075,2025-07-22
MVC,1220.0,2025-07-22
NVB,17736.95454,2025-07-22
PRE,2088.0,2025-07-22
QNP,1289.0774099999999,2025-07-22
VNG,756.81201,2025-07-22
ADP,668.15565,2025-07-22
BVH,38971.94511,2025-07-22
DCF,1805.9534199999998,2025-07-22
FUE,53.922,2025-07-22
HAS,63.18,2025-07-22
LDG,1561.81284,2025-07-22
PET,2972.21135,2025-07-22
PLP,360.49921,2025-07-22
SHB,59352.661909999995,2025-07-22
VMD,264.02858000000003,2025-07-22
DHC,2917.05442,2025-07-22
